Sample,Individual,Species,Origin
M10P1,M10,Apodemus_sylvaticus,Wild
M10P5,M10,Apodemus_sylvaticus,Captive
M11P1,M11,Apodemus_sylvaticus,Wild
M11P5,M11,Apodemus_sylvaticus,Captive
M12P1,M12,Apodemus_sylvaticus,Wild
M12P5,M12,Apodemus_sylvaticus,Captive
M13P1,M13,Apodemus_sylvaticus,Wild
M13P5,M13,Apodemus_sylvaticus,Captive
M14P1,M14,Apodemus_sylvaticus,Wild
M14P5,M14,Apodemus_sylvaticus,Captive
M15P1,M15,Apodemus_sylvaticus,Wild
M15P5,M15,Apodemus_sylvaticus,Captive
M01P1,M01,Apodemus_sylvaticus,Wild
M01P5,M01,Apodemus_sylvaticus,Captive
M02P1,M02,Apodemus_sylvaticus,Wild
M02P5,M02,Apodemus_sylvaticus,Captive
M03P1,M03,Apodemus_sylvaticus,Wild
M03P5,M03,Apodemus_sylvaticus,Captive
M04P1,M04,Apodemus_sylvaticus,Wild
M04P5,M04,Apodemus_sylvaticus,Captive
M05P1,M05,Apodemus_sylvaticus,Wild
M05P5,M05,Apodemus_sylvaticus,Captive
M06P1,M06,Apodemus_sylvaticus,Wild
M06P5,M06,Apodemus_sylvaticus,Captive
M07P1,M07,Apodemus_sylvaticus,Wild
M07P5,M07,Apodemus_sylvaticus,Captive
M08P1,M08,Apodemus_sylvaticus,Wild
M08P5,M08,Apodemus_sylvaticus,Captive
M09P1,M09,Apodemus_sylvaticus,Wild
M09P5,M09,Apodemus_sylvaticus,Captive
S10P1,S10,Crocidura_russula,Wild
S10P5,S10,Crocidura_russula,Captive
S11P1,S11,Crocidura_russula,Wild
S11P5,S11,Crocidura_russula,Captive
S12P1,S12,Crocidura_russula,Wild
S12P5,S12,Crocidura_russula,Captive
S13P1,S13,Crocidura_russula,Wild
S13P5,S13,Crocidura_russula,Captive
S14P1,S14,Crocidura_russula,Wild
S14P5,S14,Crocidura_russula,Captive
S15P1,S15,Crocidura_russula,Wild
S15P5,S15,Crocidura_russula,Captive
S16P1,S16,Crocidura_russula,Wild
S16P5,S16,Crocidura_russula,Captive
S17P1,S17,Crocidura_russula,Wild
S17P5,S17,Crocidura_russula,Captive
S18P1,S18,Crocidura_russula,Wild
S18P5,S18,Crocidura_russula,Captive
S19P1,S19,Crocidura_russula,Wild
S19P5,S19,Crocidura_russula,Captive
S21P1,S21,Crocidura_russula,Wild
S21P5,S21,Crocidura_russula,Captive
S22P1,S22,Crocidura_russula,Wild
S22P5,S22,Crocidura_russula,Captive
S23P1,S23,Crocidura_russula,Wild
S23P5,S23,Crocidura_russula,Captive
S24P1,S24,Crocidura_russula,Wild
S24P5,S24,Crocidura_russula,Captive
S25P1,S25,Crocidura_russula,Wild
S25P5,S25,Crocidura_russula,Captive
